num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.88960422181737,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1768430229999467
6,0.9190363140333326,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4357643700000153
8,0.8739812228320621,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.559245918000215
10,0.7964178960310472,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,17.539274490000025
4,0.8940177889043355,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0706299009998475
6,0.9065454296915909,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.3829473370001324
8,0.7850909476550215,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.5167646760000935
10,0.7715417589049878,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,20.22072404699975
4,0.8873165659498092,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.3563357729999552
6,0.9174504304883679,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.2724655480001275
8,0.7999098703138331,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,6.462300206999771
10,0.7276161279911929,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,20.136046120000174
4,0.8931466208270217,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.371747559999676
6,0.9116696697984501,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.073757015999945
8,0.7272911477542122,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5.020032483999785
10,0.6496413644725679,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,18.179873807999684
4,0.8932644130141322,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.2983551249999437
6,0.9161793387980537,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.077290783999615
8,0.8689234588360174,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5.513980001999698
10,0.7473490955015909,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,16.750581090000196
12,0.34428563048628097,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.3372695188025833,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.35105766945353317,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.32160028502699334,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.3530662233687723,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
