num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.9940185496362102,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1017203470000823
6,0.9740032596468514,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.7787132050002583
8,0.7954572265354798,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,32.67349381400027
10,0.7795467923490177,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,35.375177755000095
4,0.9923785985332575,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1393462269998054
6,0.9617003760545009,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.512006441000267
8,0.7983481780679932,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,30.55094322800005
10,0.7319940934286614,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,69.58520147199988
4,0.9920623782553034,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1339295029993082
6,0.9716663991799382,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4810759780002627
8,0.79068056237858,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.1647179330002473
10,0.7401894614209067,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,71.24797322999984
4,0.9930458867060334,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1153125539995017
6,0.9675908198709092,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.5134647989998484
8,0.8177156783737521,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.284926852999888
10,0.7153333859868731,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,69.19855451100011
4,0.99170862300075,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1369274829994538
6,0.9726021541154153,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.5203755480006294
8,0.7622949733127999,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.3376304450002863
10,0.6664618948629524,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,10.827592297000592
