num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.9226156064140877,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1138163999994504
6,0.9186852070279529,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1293508600001587
8,0.8232698529590838,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.266788433000329
10,0.7101960314703696,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8.268615941999997
4,0.9204335476339266,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.2140386679993753
6,0.9121433560141737,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4585395329995663
8,0.8165887854129924,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.083913441999357
10,0.7098162540561531,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,10.04772763299934
4,0.9239584788069061,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1812968459998956
6,0.9169400798716427,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4398510089995398
8,0.8220029202647164,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.0460416159994566
10,0.7159700018532379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9.926257482999972
4,0.9216051300411525,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1660853760004102
6,0.9151134911504063,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4419090829997003
8,0.8258266543993104,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.0513959859999886
10,0.713516588598149,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9.92117812000015
4,0.9273743079144908,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1889841520005575
6,0.9116707365429365,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4221504600000117
8,0.8162110775189231,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.034411308000017
10,0.7208527515091395,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9.768407823000416
12,0.5865483224248358,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.5813834503695725,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.5929048364347287,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.5908621771642751,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.5839530924364125,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
