num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.5786500000000002,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.2733479049993548
6,0.5269871442148968,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.3697238459999426
8,0.4782850423099667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.7552483859999484
10,0.2662353944135203,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12.060993654999947
4,0.5869500000000001,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.606839877999846
6,0.5253889639301615,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.5794228730001123
8,0.4808381318136641,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.551830961000633
10,0.26792074241284275,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,11.477530578999904
4,0.58005,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.254297503000089
6,0.5201320462161757,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.8078316060000361
8,0.475686628064151,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.904489767999621
10,0.3037873087534498,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12.484718336999322
4,0.5858500000000001,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4628469710005447
6,0.5135310889900456,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.9096417030004886
8,0.47853267268298216,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.624891381999987
10,0.30242825607064,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,10.6303845500006
4,0.581637245586838,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4884115549994021
6,0.519479869967492,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.0722759519994725
8,0.4793437267473415,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.6653884830002426
10,0.2710308502633574,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12.322790881000401
