num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.6704670467046706,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.866876570000386
6,0.7182873149259703,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9355814009995811
8,0.5574977461684862,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.9167603419991792
10,0.43629789584693524,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,7.671214981999583
4,0.66965,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0070302220001395
6,0.7263452690538108,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.369588861000011
8,0.565028033640369,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.873755896000148
10,0.4327092013453112,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8.545295703999727
4,0.6604830241512075,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9167862510003033
6,0.7122636791037312,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.361617188999844
8,0.5612479967948718,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.6985648549998587
10,0.43315427481299185,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,7.8698252450003565
4,0.6611330566528326,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.8687603809994471
6,0.7208441688337668,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.4024472789997162
8,0.5567407852564104,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.6859500970003864
10,0.4469335476417698,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8.349459183000363
4,0.6652332616630833,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.8194396090002556
6,0.7091336534613846,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.3343050619996575
8,0.5546542486605581,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.6231618490000983
10,0.45350529432428327,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,7.97160300699943
