num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
100,nan,nan,0.7842881446710416,nan,0,nan,249,nan,1322,nan,2,2,72,nan,nan,nan
150,nan,nan,0.6939754561608731,nan,0,nan,360,nan,2922,nan,2,2,72,nan,nan,nan
200,nan,nan,0.658260124488018,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
250,nan,nan,0.592624604620393,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
300,nan,nan,0.533533642607678,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
350,nan,nan,0.48033467658089757,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
400,nan,nan,0.43244021201438954,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
450,nan,nan,0.38932133382120276,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
500,nan,nan,0.3505018653613942,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
100,nan,nan,0.7835042093619383,nan,0,nan,253,nan,1322,nan,2,2,72,nan,nan,nan
150,nan,nan,0.6933511280232069,nan,0,nan,368,nan,2922,nan,2,2,72,nan,nan,nan
200,nan,nan,0.6582601244880175,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
250,nan,nan,0.5926246046203923,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
300,nan,nan,0.5335336426076782,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
350,nan,nan,0.48033467658089585,nan,nan,nan,nan,nan,nan,nan,2,2,72,nan,nan,nan
