num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,5,8,11,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,8,14,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,5,10,16,18,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,9,9,17,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,9,9,18,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,17,24,32,44,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,13,16,20,24,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,14,23,22,37,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,16,19,26,42,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,19,19,29,35,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,28,29,39,48,77,104,2,15,60,0.0,0.0,0.0
