num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,13,18,27,42,15,22,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,34,39,56,74,39,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,57,76,95,121,64,66,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,92,103,125,150,95,97,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,140,143,166,180,132,134,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,196,196,218,209,175,177,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,249,284,224,256,224,226,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,356,353,299,317,279,281,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,420,395,384,372,340,342,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,492,545,403,462,407,409,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,586,619,484,515,480,482,2,1,36,0.0,0.0,0.0
