num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,34,42,57,64,26,29,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,52,55,76,82,44,46,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,66,84,62,74,71,79,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,86,100,81,95,106,112,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,104,122,85,92,127,134,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,142,167,81,102,176,188,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,149,171,125,137,195,212,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,178,204,119,134,266,274,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,225,239,121,151,298,308,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,238,249,106,113,323,344,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,261,275,142,151,402,426,2,1,36,0.0,0.0,0.0
