num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,6,11,18,28,1,1,6,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,21,24,37,1,1,6,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,14,27,30,48,1,1,6,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,18,32,36,55,1,1,6,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,22,24,42,45,1,1,6,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,42,48,74,1,1,6,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,30,50,54,92,1,1,6,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,34,47,60,90,1,1,6,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,38,40,66,69,1,1,6,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,63,56,110,100,1,1,6,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,53,81,107,129,1,1,6,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,73,80,139,138,1,1,6,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,11,18,28,1,1,6,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,19,24,37,1,1,6,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,14,28,30,45,1,1,6,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,18,32,36,51,1,1,6,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,22,24,42,45,1,1,6,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,44,48,70,1,1,6,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,30,56,54,81,1,1,6,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,34,48,60,75,1,1,6,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,38,40,66,69,1,1,6,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,53,68,96,116,1,1,6,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,63,83,109,124,1,1,6,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,79,82,127,142,1,1,6,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,11,18,28,1,1,6,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,21,24,37,1,1,6,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,14,28,30,45,1,1,6,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,18,26,36,45,1,1,6,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,22,24,42,45,1,1,6,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,38,48,67,1,1,6,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,30,46,54,82,1,1,6,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,34,48,60,75,1,1,6,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,38,40,66,69,1,1,6,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,54,46,102,89,1,1,6,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,58,73,106,126,1,1,6,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,83,90,149,149,1,1,6,0.0,0.0,0.0
