num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,11,14,35,39,19,27,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,17,20,42,41,36,46,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,23,26,48,48,57,69,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,29,32,53,52,82,96,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,35,38,65,64,111,127,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,41,44,69,67,144,162,3,2,432,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,47,50,73,73,181,201,3,2,432,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,53,56,83,80,222,244,3,2,432,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,59,69,85,103,267,291,3,2,432,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,83,96,121,141,316,342,3,2,432,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,98,109,143,160,369,397,3,2,432,0.0,0.0,0.0
