num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,10,12,18,2,16,3,4,234,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8,17,18,27,13,30,3,4,234,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,24,18,44,9,42,3,4,234,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,34,21,35,14,47,3,4,234,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,28,45,39,58,42,72,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,35,54,54,58,51,87,3,4,234,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,20,67,26,47,29,92,3,4,234,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,63,68,64,62,96,121,3,4,234,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,73,69,65,83,116,166,3,4,84,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,40,100,58,71,61,150,3,4,84,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,69,97,66,74,115,161,3,4,84,0.0,0.0,0.0
