num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,7,10,18,25,16,24,3,2,252,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,11,14,26,33,31,41,3,2,252,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,15,18,34,41,50,62,3,2,252,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,19,22,42,49,73,87,3,2,252,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,23,26,50,57,100,116,3,2,252,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,27,30,58,65,131,149,3,2,252,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,31,34,66,73,166,186,3,2,252,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,35,38,74,81,205,227,3,2,252,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,39,60,82,101,248,272,3,2,252,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,58,58,102,109,295,321,3,2,252,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,54,68,103,120,320,374,3,2,252,0.0,0.0,0.0
