num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,4,16,12,30,3,2,432,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,30,35,56,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,30,44,69,79,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,41,56,83,105,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,57,70,111,125,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,74,82,138,154,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,95,98,167,171,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,115,110,188,200,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,117,133,206,233,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,140,146,238,247,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,154,150,252,272,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,163,186,276,302,3,1,216,0.0,0.0,0.0
