num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,12,12,43,45,0,1
4,12,12,43,43,0,1
4,12,12,43,45,0,1
6,20,20,55,56,0,1
6,20,20,55,55,0,1
6,20,20,55,55,0,1
8,28,28,64,61,0,1
8,28,28,61,61,0,1
8,28,28,64,61,0,1
10,36,36,67,67,0,1
10,36,36,67,72,0,1
10,36,36,67,67,0,1
12,44,44,75,75,0,1
12,44,44,75,75,0,1
12,44,44,75,75,0,1
14,52,52,85,85,0,1
14,52,52,85,85,0,1
14,52,52,85,85,0,1
16,60,60,88,88,0,1
16,60,60,88,88,0,1
16,60,60,88,88,0,1
18,68,68,103,103,0,1
18,68,68,103,103,0,1
18,68,68,103,103,0,1
20,76,76,99,99,0,1
20,76,76,99,99,0,1
20,76,76,99,99,0,1
22,97,102,134,150,2,1
22,106,93,145,130,2,1
22,88,93,121,136,2,1
24,122,119,234,166,2,1
24,114,128,165,174,2,1
24,111,119,167,166,2,1
26,143,154,196,164,2,1
26,143,148,162,194,2,1
26,137,145,187,203,2,1
