num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,4,11,15,28,2,2
4,6,11,18,24,1,1
4,6,11,15,21,1,1
6,13,25,32,48,2,2
6,13,21,30,44,2,1
6,15,21,27,35,2,1
8,32,39,38,56,2,1
8,27,39,47,69,2,1
8,28,32,46,49,2,1
10,53,55,66,70,2,1
10,39,57,51,65,2,1
10,53,54,62,54,2,1
12,60,74,64,74,2,1
12,63,76,69,55,2,1
12,60,74,58,66,2,1
14,79,95,79,87,2,1
14,81,98,60,78,2,1
14,79,94,65,73,2,1
16,99,101,81,76,2,1
16,93,119,68,87,2,1
16,108,127,76,93,2,1
18,132,125,96,95,2,1
18,118,131,81,90,2,1
18,118,132,95,128,2,1
20,160,150,163,115,2,1
20,148,159,102,122,2,1
20,150,173,87,102,2,1
22,185,180,119,129,2,1
22,182,196,108,118,2,1
22,180,178,125,115,2,2
24,190,211,149,155,2,1
24,216,225,130,130,2,1
24,193,203,134,112,2,1
26,240,232,135,172,2,1
26,201,226,119,103,2,1
26,247,251,138,156,2,1
