num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,run_time,knit_time
4,0.0,0.0,0.0,0.0,4,12,17,30,2,2,0.0,0.0
6,0.0,0.0,0.0,0.0,6,19,20,36,2,2,0.0,0.0
8,0.0,0.0,0.0,0.0,12,28,29,47,2,2,0.0,0.0
10,0.0,0.0,0.0,0.0,16,32,35,58,2,2,0.0,0.0
12,0.0,0.0,0.0,0.0,20,24,41,47,2,2,0.0,0.0
14,0.0,0.0,0.0,0.0,20,32,41,63,2,2,0.0,0.0
16,0.0,0.0,0.0,0.0,28,52,53,88,2,2,0.0,0.0
18,0.0,0.0,0.0,0.0,30,57,56,83,2,2,0.0,0.0
20,0.0,0.0,0.0,0.0,36,40,65,71,2,2,0.0,0.0
22,0.0,0.0,0.0,0.0,40,68,71,115,2,2,0.0,0.0
24,0.0,0.0,0.0,0.0,69,64,113,123,2,2,0.0,0.0
26,0.0,0.0,0.0,0.0,73,96,128,157,2,2,0.0,0.0
