num_qubits,gate_cuts,wire_cuts,optimal_wire_cuts,optimal_gate_cuts,gate_cut_time,wire_cut_time,optimal_cut_time,gate_num_fragments,wire_num_fragments,optimal_num_fragments
6,6,8,4,2,0.5879496430279687,0.04947385797277093,0.6843999079428613,2,2,2
8,6,10,2,4,0.11867165903095156,0.03634408698417246,0.7157846180489287,2,2,2
10,6,13,0,6,0.1599798989482224,0.32001679798122495,0.11622811004053801,2,3,2
6,6,8,4,2,0.5843883150955662,0.04825232003349811,0.6710765599273145,2,2,2
8,6,10,2,4,0.11699801089707762,0.036768128047697246,0.7062593429582193,2,2,2
10,6,13,0,6,0.15455165004823357,0.31618289090692997,0.11419208406005055,2,3,2
6,6,8,4,2,0.5884573550429195,0.04919447598513216,0.6762885330244899,2,2,2
8,6,10,2,4,0.11824885196983814,0.035846756072714925,0.7110147820785642,2,2,2
10,6,13,0,6,0.16010469303000718,0.3148501890245825,0.11405623401515186,2,3,2
6,6,8,4,2,0.5659117460018024,0.04708079295232892,0.6697443349985406,2,2,2
8,6,10,2,4,0.11746013595256954,0.03573522006627172,0.7042086259461939,2,2,2
10,6,13,0,6,0.15251940803136677,0.308755284990184,0.12432016502134502,2,3,2
12,12,15,0,12,1.1183892920380458,0.1970123959472403,0.4418923759367317,4,3,4
14,18,18,0,18,13.542834960040636,10.426163021009415,39.381727267056704,6,4,6
12,12,15,0,12,1.1071144409943372,0.19601468299515545,0.4392492879414931,4,3,4
14,18,18,0,18,13.326637409976684,10.296104816021398,39.07504439703189,6,4,6
