num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,2,6,12,18,2,3
4,2,6,12,18,2,3
4,2,6,12,18,2,3
6,4,13,15,24,2,3
6,4,11,15,21,2,3
6,4,13,15,24,2,3
8,11,21,26,42,2,3
8,6,20,18,40,2,3
8,6,18,18,39,2,3
10,8,28,18,34,2,3
10,8,26,18,47,2,3
10,15,30,27,49,2,3
12,13,32,23,46,2,3
12,10,32,18,37,2,3
12,27,33,40,50,2,3
14,39,43,53,59,2,3
14,28,40,38,46,2,3
14,30,44,49,59,2,3
16,38,64,54,62,2,3
16,41,54,44,80,2,3
16,42,52,61,62,2,3
18,44,57,46,61,2,3
18,39,59,68,69,2,3
18,25,62,38,62,2,3
20,25,59,32,46,2,3
20,42,72,47,55,2,3
20,55,67,62,46,2,3
22,32,79,35,59,2,3
22,32,87,62,91,2,3
22,63,76,66,72,2,3
24,38,80,50,50,2,3
24,35,84,46,64,2,3
24,84,103,91,115,2,3
