num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,1,6,15,25,3,2
4,1,6,15,25,3,2
4,2,6,17,25,3,2
6,3,10,22,34,3,2
6,3,10,25,34,3,2
6,4,10,26,34,3,2
8,6,14,25,40,3,2
8,6,14,25,40,3,2
8,5,14,25,40,3,2
10,7,18,31,46,3,2
10,8,18,32,51,3,2
10,7,18,32,46,3,2
12,10,22,34,52,3,2
12,10,22,35,54,3,2
12,10,22,34,52,3,2
14,11,26,39,64,3,2
14,12,26,39,56,3,2
14,11,26,39,56,3,2
16,13,30,39,68,3,2
16,14,30,43,68,3,2
16,21,30,51,68,3,2
18,15,34,43,70,3,2
18,16,34,44,70,3,2
18,15,34,43,70,3,2
20,17,38,45,75,3,2
20,17,38,45,75,3,2
20,18,38,46,75,3,2
22,20,75,51,101,3,2
22,19,51,54,121,3,2
22,20,48,51,109,3,2
24,22,76,54,128,3,2
24,21,73,54,122,3,2
24,27,73,61,138,3,2
