num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,12,27,35,63,4,1
4,14,27,50,63,4,1
4,12,29,34,65,4,1
6,24,51,46,91,4,1
6,27,50,41,82,4,1
6,24,50,46,82,4,1
8,35,60,46,81,4,1
8,32,63,46,81,4,1
8,32,60,45,81,4,1
10,32,48,41,69,4,1
10,35,48,43,69,4,1
10,32,48,41,69,4,1
12,32,36,37,57,4,1
12,32,36,39,57,4,1
12,32,36,39,57,4,1
14,40,63,54,96,4,1
14,48,81,65,129,4,1
14,47,68,57,82,4,1
16,73,84,87,105,4,1
16,66,84,65,111,4,1
16,73,108,76,157,4,1
18,62,90,49,119,4,1
18,66,90,68,123,4,1
18,68,72,60,93,4,1
20,56,60,50,81,4,1
20,56,60,49,81,4,1
20,56,60,47,81,4,1
22,119,104,131,154,4,1
22,89,107,119,120,4,1
22,94,105,88,131,4,1
24,101,142,104,194,4,1
24,93,137,98,199,4,1
24,98,108,145,179,4,1
