contract_cost,bruteforce_cost,num_qpds,num_subcircuits,num_instances,esp,depth,max_qubits,swap_count,cx_count,2q_count,name,num_qubits,set_max_qubits
2.439,1.875,2,2,50,0.968,17,15,0,0,14,twolocal_1,30,20
2.439,1.875,2,2,50,0.958,22,20,0,0,19,twolocal_1,40,20
2.702,3.447,4,4,80,0.973,15,13,0,0,12,twolocal_1,50,20
2.889,3.641,4,4,100,0.968,17,15,0,0,14,twolocal_1,60,20
2.702,3.447,4,4,80,0.962,20,18,0,0,17,twolocal_1,70,20
2.889,3.641,4,4,100,0.958,22,20,0,0,19,twolocal_1,80,20
3.115,6.574,8,8,180,0.975,14,12,0,0,11,twolocal_1,90,20
3.049,6.38,8,8,160,0.973,15,13,0,0,12,twolocal_1,100,20
0,-inf,0,1,1.0,0.936,33,30,0,0,30,twolocal_1,30,30
2.439,1.875,2,2,50,0.958,22,20,0,0,19,twolocal_1,40,30
2.439,1.875,2,2,50,0.947,27,25,0,0,24,twolocal_1,50,30
2.439,1.875,2,2,50,0.937,32,30,0,0,29,twolocal_1,60,30
2.702,3.447,4,4,80,0.962,20,18,0,0,17,twolocal_1,70,30
2.889,3.641,4,4,100,0.958,22,20,0,0,19,twolocal_1,80,30
2.702,3.447,4,4,80,0.952,25,23,0,0,22,twolocal_1,90,30
2.889,3.641,4,4,100,0.947,27,25,0,0,24,twolocal_1,100,30
0,-inf,0,1,1.0,0.936,33,30,0,0,30,twolocal_1,30,40
0,-inf,0,1,1.0,0.916,43,40,0,0,40,twolocal_1,40,40
2.439,1.875,2,2,50,0.947,27,25,0,0,24,twolocal_1,50,40
2.439,1.875,2,2,50,0.937,32,30,0,0,29,twolocal_1,60,40
2.439,1.875,2,2,50,0.927,37,35,0,0,34,twolocal_1,70,40
2.439,1.875,2,2,50,0.917,42,40,0,0,39,twolocal_1,80,40
2.702,3.447,4,4,80,0.952,25,23,0,0,22,twolocal_1,90,40
2.889,3.641,4,4,100,0.947,27,25,0,0,24,twolocal_1,100,40
0,-inf,0,1,1.0,0.936,33,30,0,0,30,twolocal_1,30,50
0,-inf,0,1,1.0,0.916,43,40,0,0,40,twolocal_1,40,50
0,-inf,0,1,1.0,0.896,53,50,0,0,50,twolocal_1,50,50
2.439,1.875,2,2,50,0.937,32,30,0,0,29,twolocal_1,60,50
2.439,1.875,2,2,50,0.927,37,35,0,0,34,twolocal_1,70,50
2.439,1.875,2,2,50,0.917,42,40,0,0,39,twolocal_1,80,50
2.439,1.875,2,2,50,0.907,47,45,0,0,44,twolocal_1,90,50
2.439,1.875,2,2,50,0.897,52,50,0,0,49,twolocal_1,100,50
0,-inf,0,1,1.0,0.936,33,30,0,0,30,twolocal_1,30,60
0,-inf,0,1,1.0,0.916,43,40,0,0,40,twolocal_1,40,60
0,-inf,0,1,1.0,0.896,53,50,0,0,50,twolocal_1,50,60
0,-inf,0,1,1.0,0.876,63,60,0,0,60,twolocal_1,60,60
2.439,1.875,2,2,50,0.927,37,35,0,0,34,twolocal_1,70,60
2.439,1.875,2,2,50,0.917,42,40,0,0,39,twolocal_1,80,60
2.439,1.875,2,2,50,0.907,47,45,0,0,44,twolocal_1,90,60
2.439,1.875,2,2,50,0.897,52,50,0,0,49,twolocal_1,100,60
3.858,3.301,4,2,800,0.953,21,16,0,0,30,twolocal_2,30,20
4.483,6.246,8,4,1600,0.966,16,11,0,0,20,twolocal_2,40,20
4.571,6.439,8,4,2000,0.96,18,13,0,0,24,twolocal_2,50,20
4.483,6.246,8,4,1600,0.952,21,16,0,0,30,twolocal_2,60,20
4.571,6.439,8,4,2000,0.945,23,18,0,0,34,twolocal_2,70,20
4.885,11.77,16,8,3200,0.966,16,11,0,0,20,twolocal_2,80,20
4.778,11.673,16,8,3060,0.963,17,13,0,0,22,twolocal_2,90,20
4.816,11.77,16,8,3240,0.959,18,14,0,0,24,twolocal_2,100,20
