num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,29,39,70,87,2,1
4,29,39,73,87,2,1
4,29,39,70,87,2,1
6,42,68,61,121,2,1
6,42,68,61,121,2,1
6,42,70,61,121,2,1
8,56,84,69,129,2,1
8,56,87,69,132,2,1
8,56,84,69,129,2,1
10,68,78,99,129,2,1
10,68,78,99,129,2,1
10,68,78,108,129,2,1
12,72,72,129,129,0,1
12,72,72,129,129,0,1
12,72,72,129,129,0,1
14,95,105,97,178,2,1
14,98,126,105,199,2,1
14,112,138,175,201,2,1
16,119,135,147,225,2,1
16,116,135,150,227,2,1
16,128,138,150,226,2,1
18,132,162,121,261,2,1
18,135,144,175,231,2,1
18,116,159,96,259,2,1
20,120,120,201,201,0,1
20,120,120,201,201,0,1
20,120,120,201,201,0,1
22,155,184,221,271,2,1
22,145,150,227,264,2,1
22,174,170,275,280,2,1
24,171,182,260,320,2,1
24,178,180,300,322,2,1
24,171,209,247,327,2,1
26,201,237,341,394,2,1
26,199,212,340,382,2,1
26,199,212,321,379,2,1
