num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,6,6,25,25,0,1
4,6,6,25,25,0,1
4,6,6,25,25,0,1
6,10,10,34,34,0,1
6,10,10,34,34,0,1
6,10,10,34,34,0,1
8,14,14,43,43,0,1
8,14,14,40,40,0,1
8,14,14,40,40,0,1
10,18,18,46,51,0,1
10,18,18,46,46,0,1
10,18,18,46,46,0,1
12,22,22,52,52,0,1
12,22,22,52,52,0,1
12,22,22,52,52,0,1
14,26,26,64,64,0,1
14,26,26,56,64,0,1
14,26,26,64,64,0,1
16,30,30,68,68,0,1
16,30,30,68,68,0,1
16,30,30,68,68,0,1
18,34,34,70,70,0,1
18,34,34,70,70,0,1
18,34,34,70,70,0,1
20,38,38,75,75,0,1
20,38,38,75,75,0,1
20,38,38,75,75,0,1
22,23,54,56,103,2,2
22,28,63,59,129,2,2
22,31,51,65,118,2,2
24,53,61,114,151,2,2
24,35,77,79,151,2,2
24,22,75,54,138,2,2
26,37,74,72,157,2,2
26,75,80,173,150,2,1
26,82,65,144,154,2,1
