num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,14,14,20,20,0,1
10,27,22,24,28,26,0,1
12,27,31,29,31,32,0,1
14,27,37,39,36,37,1,2
16,27,44,44,39,45,1,2
18,27,54,59,46,49,1,2
20,27,155,167,116,123,1,1
22,27,179,190,126,134,1,1
24,27,207,209,141,143,1,1
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,14,14,20,20,0,1
10,27,21,21,26,23,0,1
12,27,26,28,28,32,0,1
14,27,37,44,37,37,2,3
16,27,32,51,34,46,2,3
18,27,46,61,41,51,2,3
20,27,160,162,94,136,2,1
22,27,194,189,128,141,2,1
24,27,217,212,150,119,2,1
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,14,14,20,20,0,1
10,27,27,25,29,34,0,1
12,27,34,34,34,32,0,1
14,27,21,41,26,49,3,4
16,27,28,50,32,64,3,4
18,27,26,61,36,55,3,4
20,27,151,172,112,127,3,1
22,27,180,195,134,143,3,1
24,27,198,216,133,167,3,1
