num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,2,9,12,1,4
12,6,77,18,96,14,6
12,35,82,43,87,9,3
12,54,70,58,72,3,1
14,51,97,58,88,9,2
14,59,95,61,89,5,1
14,34,82,41,76,12,3
16,84,114,72,79,5,1
16,61,132,66,87,9,2
16,84,103,89,100,3,1
18,75,135,59,100,11,3
18,120,150,82,101,3,1
18,80,125,64,102,8,2
20,49,172,54,117,19,7
20,83,156,79,91,13,4
20,125,182,100,113,7,1
22,113,208,80,157,11,2
22,170,199,112,141,3,1
22,147,179,97,105,3,1
24,181,195,104,128,3,1
24,126,195,82,125,14,3
24,200,225,139,153,3,1
26,218,265,157,151,3,1
26,215,247,117,111,3,1
26,93,255,61,125,21,6
