measure_noise,gate_noise,base_fidelity,vroute_fidelity,base_num_cx,vroute_num_cx,overhead
0.001,0.001,0.036100000000000076,0.03113331213123242,0,0,6
0.001,0.001,0.016450000000000003,0.013902566942057371,0,0,6
0.01,0.001,0.025749999999999974,0.0309524754297938,0,0,6
0.1,0.001,0.15139999999999998,0.17225338364646278,0,0,6
0.2,0.001,0.28185,0.2910852003646431,0,0,6
0.3,0.001,0.37204999999999994,0.38810930863544923,0,0,6
0.4,0.001,0.47459999999999997,0.48253642229652377,0,0,6
0.5,0.001,0.5681999999999999,0.5783713087969582,0,0,6
0.001,0.001,0.024500000000000004,0.021279490000310212,0,0,6
0.01,0.001,0.023249999999999993,0.02599100509535751,0,0,6
0.1,0.001,0.15549999999999997,0.16699726945019508,0,0,6
0.2,0.001,0.27130000000000004,0.2868814317569693,0,0,6
0.001,0.05,0.016949999999999986,0.020074907147845968,0,0,6
0.01,0.05,0.025050000000000027,0.02678378767117731,0,0,6
0.1,0.05,0.12990000000000002,0.12959122913956786,0,0,6
0.2,0.05,0.23445,0.2457732323857964,0,0,6
0.3,0.05,0.3211500000000001,0.33451616369372833,0,0,6
0.4,0.05,0.4117,0.41560189444891144,0,0,6
0.5,0.05,0.48195,0.4828924746555179,0,0,6
0.001,0.05,0.019450000000000005,0.012500164837286085,0,0,6
0.01,0.05,0.017499999999999984,0.03034955893296997,0,0,6
0.1,0.05,0.12565000000000004,0.13563194147093965,0,0,6
